iter	Logloss
752	0.06353265885
753	0.06346133443
754	0.06343195839
755	0.06338252173
756	0.06333072161
757	0.06326930767
758	0.06315953673
759	0.06310474301
760	0.06300954859
761	0.06298619358
762	0.06295641911
763	0.062848362
764	0.0628084017
765	0.06276754633
766	0.06273068128
767	0.06268992164
768	0.06265660485
769	0.06262140938
770	0.06260541494
771	0.06255544793
772	0.06247711281
773	0.06244610831
774	0.06239708538
775	0.06233317876
776	0.06228728411
777	0.06215533306
778	0.06213581561
779	0.06206980654
780	0.06203847019
781	0.06193561451
782	0.06188091214
783	0.06177352808
784	0.06171688277
785	0.06167949928
786	0.06163680207
787	0.06160482545
788	0.0615772227
789	0.06151381813
790	0.06147331918
791	0.06138554051
792	0.06128421601
793	0.06123456119
794	0.06120056403
795	0.06110549404
796	0.06104186651
797	0.06100010881
798	0.06089806156
799	0.06073031185
800	0.06070576067
801	0.0606585703
802	0.06058037341
803	0.06047880908
804	0.0604240178
805	0.06038876412
806	0.06033222544
807	0.06031321796
808	0.06019238098
809	0.06016867454
810	0.06011714899
811	0.06000539839
812	0.05995885334
813	0.05991100064
814	0.05987799793
815	0.05983069425
816	0.05979765597
817	0.05974222068
818	0.05969594157
819	0.05966214899
820	0.05962670904
821	0.05956880151
822	0.05950652864
823	0.05945577275
824	0.05936872187
825	0.05932782464
826	0.05929741198
827	0.05927966123
828	0.05925274128
829	0.05919935891
830	0.05915001132
831	0.05909717906
832	0.05902610072
833	0.05900683036
834	0.05894968872
835	0.058900989
836	0.05881960329
837	0.05876524999
838	0.05873721899
839	0.05866265944
840	0.0586395538
841	0.05857872067
842	0.05854230082
843	0.0585138089
844	0.05842894014
845	0.0583556895
846	0.05822852704
847	0.0581920575
848	0.05814631409
849	0.05808635877
850	0.05801754677
851	0.05797300044
852	0.05794349264
853	0.05791245855
854	0.05786970422
855	0.05784755685
856	0.05782064068
857	0.05768065165
858	0.05765672441
859	0.05758149723
860	0.05750253193
861	0.05741785305
862	0.05740101741
863	0.05736442708
864	0.05732567584
865	0.05720959957
866	0.05714294661
867	0.05710804457
868	0.05707157
869	0.05703328709
870	0.05699393471
871	0.05694994676
872	0.05689694405
873	0.05687207854
874	0.05681340131
875	0.05678027575
876	0.05669320886
877	0.05663632816
878	0.05661570527
879	0.05659032489
880	0.05651023218
881	0.05645271288
882	0.05643869941
883	0.05639918346
884	0.05637297026
885	0.0563419965
886	0.05630763268
887	0.05627660863
888	0.05623326244
889	0.05620595147
890	0.05616559375
891	0.0560747914
892	0.05604429254
893	0.05588429177
894	0.05576509678
895	0.05562683605
896	0.05560555906
897	0.05557358509
898	0.05550395551
